#\ Voltage 
# V = Voltage in V
# E = Charge in eV

#! V[f,0]/     E[f,1]/ 
1800            9.55      
1850            9.111       
1900           12.864       
1950           16.277       
2000           18.476           
2050            24.883       
2100            26.628        
2150            32.55
2200            36.65          
2200            45.137
2300            53.997
2350           62.745
2400            76.884
2450            88.411
2500            102.553
